epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,621.731,0.99282,0.78203,1.2258,0.7874,0.65986,0.74285,0.46179,1.42595,1.02888,1.47863,0.0011882,0.0011882,0.0011882
43,636.292,1.03421,0.80944,1.23526,0.73523,0.73563,0.76366,0.50058,1.29528,1.01349,1.38565,0.0011684,0.0011684,0.0011684
44,650.901,1.00262,0.77971,1.23193,0.77617,0.71746,0.76201,0.46716,1.42054,1.07583,1.45453,0.0011486,0.0011486,0.0011486
45,665.483,0.99938,0.78981,1.22163,0.74963,0.70115,0.73041,0.47051,1.39795,1.12334,1.44689,0.0011288,0.0011288,0.0011288
46,680.068,0.98544,0.79134,1.21499,0.82365,0.56897,0.69049,0.44015,1.38352,1.23509,1.43345,0.001109,0.001109,0.001109
47,694.614,0.98175,0.74626,1.2079,0.81127,0.64368,0.72693,0.48252,1.33177,1.06132,1.37983,0.0010892,0.0010892,0.0010892
48,709.193,0.9848,0.75982,1.21202,0.75107,0.71094,0.72414,0.48073,1.36713,1.01242,1.43764,0.0010694,0.0010694,0.0010694
49,723.768,0.9731,0.72621,1.20456,0.78818,0.66667,0.72982,0.47289,1.39863,1.10789,1.492,0.0010496,0.0010496,0.0010496
50,738.45,0.9733,0.75008,1.19954,0.79813,0.68966,0.75268,0.48383,1.29831,1.07412,1.37575,0.0010298,0.0010298,0.0010298
51,753.015,0.96563,0.72543,1.19621,0.86565,0.62952,0.74705,0.46372,1.40741,1.03264,1.49515,0.00101,0.00101,0.00101
52,767.641,0.96269,0.72533,1.18791,0.71007,0.66667,0.68752,0.44275,1.30862,1.20989,1.36227,0.0009902,0.0009902,0.0009902
53,782.219,0.94636,0.6911,1.18348,0.81264,0.66092,0.69579,0.46983,1.28884,1.12048,1.39293,0.0009704,0.0009704,0.0009704
54,796.79,0.93503,0.69015,1.18154,0.82641,0.65664,0.74464,0.48434,1.34836,1.05287,1.41099,0.0009506,0.0009506,0.0009506
55,811.444,0.93125,0.69421,1.18906,0.79619,0.67355,0.73264,0.47943,1.31037,1.09876,1.38011,0.0009308,0.0009308,0.0009308
56,826.027,0.9349,0.68538,1.18638,0.8345,0.63793,0.7218,0.47104,1.37251,1.07044,1.42232,0.000911,0.000911,0.000911
57,840.629,0.93444,0.7418,1.19869,0.82572,0.61494,0.72266,0.45876,1.42713,1.11433,1.4744,0.0008912,0.0008912,0.0008912
58,855.174,0.9206,0.67521,1.17176,0.78061,0.66667,0.69278,0.48696,1.27254,1.07903,1.39491,0.0008714,0.0008714,0.0008714
59,869.698,0.91904,0.68357,1.16516,0.77539,0.6954,0.75055,0.47823,1.39828,1.03281,1.46034,0.0008516,0.0008516,0.0008516
60,884.264,0.91818,0.6906,1.17081,0.76139,0.69688,0.73646,0.467,1.34559,1.03598,1.43592,0.0008318,0.0008318,0.0008318
61,898.814,0.88862,0.64385,1.17584,0.78527,0.68391,0.70597,0.46434,1.36932,1.06601,1.46707,0.000812,0.000812,0.000812
62,913.459,0.92292,0.68873,1.174,0.81971,0.66092,0.7291,0.48278,1.35943,1.07549,1.4656,0.0007922,0.0007922,0.0007922
63,928.165,0.87323,0.64968,1.14202,0.76761,0.66667,0.72729,0.48631,1.2821,1.06079,1.39957,0.0007724,0.0007724,0.0007724
64,942.86,0.88818,0.71073,1.13527,0.81433,0.65535,0.73292,0.47505,1.34588,1.13233,1.40113,0.0007526,0.0007526,0.0007526
65,957.602,0.87598,0.63082,1.14031,0.81602,0.63218,0.71722,0.4766,1.29887,1.12101,1.39815,0.0007328,0.0007328,0.0007328
66,972.297,0.87067,0.62518,1.13684,0.79745,0.6788,0.73683,0.48996,1.29652,1.04665,1.36532,0.000713,0.000713,0.000713
67,986.989,0.84989,0.59917,1.14265,0.84564,0.66119,0.73443,0.46257,1.35635,1.06257,1.41615,0.0006932,0.0006932,0.0006932
68,1001.79,0.87268,0.61916,1.13674,0.82743,0.68893,0.71558,0.46566,1.31715,1.09749,1.40167,0.0006734,0.0006734,0.0006734
69,1016.52,0.86242,0.63913,1.13245,0.85411,0.68391,0.74138,0.48794,1.29342,1.00449,1.40264,0.0006536,0.0006536,0.0006536
70,1031.24,0.82808,0.59125,1.11806,0.79334,0.68391,0.7502,0.50358,1.24598,1.02778,1.3577,0.0006338,0.0006338,0.0006338
71,1045.93,0.83179,0.58033,1.1209,0.78481,0.67073,0.71497,0.47374,1.32585,1.21003,1.39925,0.000614,0.000614,0.000614
72,1060.63,0.82738,0.59297,1.11201,0.83191,0.67241,0.74272,0.47928,1.34475,1.04879,1.43453,0.0005942,0.0005942,0.0005942
73,1075.29,0.82744,0.5865,1.10251,0.79502,0.691,0.74124,0.5031,1.28595,1.02066,1.39757,0.0005744,0.0005744,0.0005744
74,1089.95,0.81025,0.56892,1.10646,0.77451,0.67816,0.72591,0.49411,1.27199,1.06361,1.37199,0.0005546,0.0005546,0.0005546
